firstName,lastName,district,nextReelection,leadershipTitle,party,dateOfBirth,cspanid,sex,govtrackLink,twitterID,youtubeID,lastElected,districtState,website,phone,senatorRank,house,description,govtrackID,education
David,Vitter,,2017-01-03 00:00,,REP,1961-05-03 00:00,60672,M,https://www.govtrack.us/congress/members/david_vitter/400418,0,SenatorVitter,2011-01-05 00:00,LA,http://www.vitter.senate.gov,202-224-4623,junior,SN,Junior senator from LA,400418,"A.B., Harvard University, Cambridge, Mass., 1983
B.A., Oxford University, Oxford, England, 1985
J.D., Tulane University School of Law, New Orleans, La., 1988"
Lamar,Alexander,,2015-01-03 00:00,,REP,1940-07-03 00:00,5,M,https://www.govtrack.us/congress/members/lamar_alexander/300002,SenAlexander,lamaralexander,2009-01-06 00:00,TN,http://www.alexander.senate.gov,202-224-4944,senior,SN,Senior senator from TN,300002,"B.A., Vanderbilt University 1962
J.D., New York University Law School 1965
U.S. secretary of education 1991-1993"
Barbara,Boxer,,2017-01-03 00:00,,DEM,1940-11-11 00:00,2470,F,https://www.govtrack.us/congress/members/barbara_boxer/300011,SenatorBoxer,SenatorBoxer,2011-01-05 00:00,CA,http://www.boxer.senate.gov,202-224-3553,junior,SN,Junior senator from CA,300011,"B.A., Brooklyn College 1962"
Saxby,Chambliss,,2015-01-03 00:00,,REP,1943-11-10 00:00,36571,M,https://www.govtrack.us/congress/members/saxby_chambliss/300021,SaxbyChambliss,SenatorChambliss,2009-01-06 00:00,GA,http://www.chambliss.senate.gov,202-224-3521,senior,SN,Senior senator from GA,300021,"B.A., University of Georgia, Athens 1966
J.D., University of Tennessee College of Law 1968"
Thad,Cochran,,2015-01-03 00:00,,REP,1937-12-07 00:00,1200,M,https://www.govtrack.us/congress/members/thad_cochran/300023,SenThadCochran,sencochran,2009-01-06 00:00,MS,http://www.cochran.senate.gov,202-224-5054,senior,SN,Senior senator from MS,300023,
Susan,Collins,,2015-01-03 00:00,,REP,1952-12-07 00:00,45738,F,https://www.govtrack.us/congress/members/susan_collins/300025,SenatorCollins,SenatorSusanCollins,2009-01-06 00:00,ME,http://www.collins.senate.gov,202-224-2523,senior,SN,Senior senator from ME,300025,
John,Cornyn,,2015-01-03 00:00,Minority Whip,REP,1952-02-02 00:00,93131,M,https://www.govtrack.us/congress/members/john_cornyn/300027,JohnCornyn,senjohncornyn,2009-01-06 00:00,TX,http://www.cornyn.senate.gov,202-224-2934,senior,SN,Senior senator from TX,300027,"J.D., St. Mary's University"
Michael,Crapo,,2017-01-03 00:00,,REP,1951-05-20 00:00,26440,M,https://www.govtrack.us/congress/members/michael_crapo/300030,MikeCrapo,senatorcrapo,2011-01-05 00:00,ID,http://www.crapo.senate.gov,202-224-6142,senior,SN,Senior senator from ID,300030,"J.D., Harvard University School of Law 1977"
Richard,Durbin,,2015-01-03 00:00,Majority Whip,DEM,1944-11-21 00:00,6741,M,https://www.govtrack.us/congress/members/richard_durbin/300038,SenatorDurbin,SenatorDurbin,2009-01-06 00:00,IL,http://www.durbin.senate.gov,202-224-2152,senior,SN,Senior senator from IL,300038,"B.S., Georgetown University School of Foreign Service, Washington, DC 1966
J.D., Georgetown University Law Center 1969"
Michael,Enzi,,2015-01-03 00:00,,REP,1944-02-01 00:00,45824,M,https://www.govtrack.us/congress/members/michael_enzi/300041,SenatorEnzi,senatorenzi,2009-01-06 00:00,WY,http://www.enzi.senate.gov,202-224-3424,senior,SN,Senior senator from WY,300041,M.B.A. in retail marketing from Denver University 1968
Lindsey,Graham,,2015-01-03 00:00,,REP,1955-07-09 00:00,36782,M,https://www.govtrack.us/congress/members/lindsey_graham/300047,GrahamBlog,USSenLindseyGraham,2009-01-06 00:00,SC,http://www.lgraham.senate.gov,202-224-5972,senior,SN,Senior senator from SC,300047,"B.A., University of South Carolina, Columbia 1977
J.D., University of South Carolina School of Law 1981"
Charles,Grassley,,2017-01-03 00:00,,REP,1933-09-17 00:00,1167,M,https://www.govtrack.us/congress/members/charles_grassley/300048,ChuckGrassley,senchuckgrassley,2011-01-05 00:00,IA,http://www.grassley.senate.gov,202-224-3744,senior,SN,Senior senator from IA,300048,
Thomas,Harkin,,2015-01-03 00:00,,DEM,1939-11-19 00:00,2005,M,https://www.govtrack.us/congress/members/thomas_harkin/300051,SenatorHarkin,SenatorTomHarkin,2009-01-06 00:00,IA,http://www.harkin.senate.gov,202-224-3254,junior,SN,Junior senator from IA,300051,
James,Inhofe,,2015-01-03 00:00,,REP,1934-11-17 00:00,5619,M,https://www.govtrack.us/congress/members/james_inhofe/300055,InhofePress,jiminhofepressoffice,2009-01-06 00:00,OK,http://www.inhofe.senate.gov,202-224-4721,senior,SN,Senior senator from OK,300055,"B.A., University of Tulsa 1973"
Brian,Schatz,,2015-01-03 00:00,,DEM,1972-10-20 00:00,87784,M,https://www.govtrack.us/congress/members/brian_schatz/412507,SenBrianSchatz,senbrianschatz,2012-12-27 00:00,HI,http://www.schatz.senate.gov,202-224-3934,senior,SN,Senior senator from HI,412507,B.A. Pomona College 1994
Tim,Johnson,,2015-01-03 00:00,,DEM,1946-12-28 00:00,2545,M,https://www.govtrack.us/congress/members/tim_johnson/300058,SenJohnsonSD,senatorjohnson,2009-01-06 00:00,SD,http://www.johnson.senate.gov,202-224-5842,senior,SN,Senior senator from SD,300058,"B.A., University of South Dakota 1969
M.A., 1970
J.D., University of South Dakota 1975"
Mary,Landrieu,,2015-01-03 00:00,,DEM,1955-11-23 00:00,22357,F,https://www.govtrack.us/congress/members/mary_landrieu/300063,SenLandrieu,senatorlandrieu,2009-01-06 00:00,LA,http://www.landrieu.senate.gov,202-224-5824,senior,SN,Senior senator from LA,300063,
Patrick,Leahy,,2017-01-03 00:00,,DEM,1940-03-31 00:00,1552,M,https://www.govtrack.us/congress/members/patrick_leahy/300065,SenatorLeahy,SenatorPatrickLeahy,2011-01-05 00:00,VT,http://www.leahy.senate.gov,202-224-4242,senior,SN,Senior senator from VT,300065,
Carl,Levin,,2015-01-03 00:00,,DEM,1934-06-28 00:00,2592,M,https://www.govtrack.us/congress/members/carl_levin/300066,SenCarlLevin,SenCarlLevin,2009-01-06 00:00,MI,http://www.levin.senate.gov,202-224-6221,senior,SN,Senior senator from MI,300066,
John,McCain,,2017-01-03 00:00,,REP,1936-08-29 00:00,7476,M,https://www.govtrack.us/congress/members/john_mccain/300071,SenJohnMcCain,SenatorJohnMcCain,2011-01-05 00:00,AZ,http://www.mccain.senate.gov,202-224-2235,senior,SN,Senior senator from AZ,300071,
Mitch,McConnell,,2015-01-03 00:00,Minority Leader,REP,1942-02-20 00:00,2351,M,https://www.govtrack.us/congress/members/mitch_mcconnell/300072,McConnellPress,0,2009-01-06 00:00,KY,http://www.mcconnell.senate.gov,202-224-2541,senior,SN,Senior senator from KY,300072,
Barbara,Mikulski,,2017-01-03 00:00,,DEM,1936-07-20 00:00,1396,F,https://www.govtrack.us/congress/members/barbara_mikulski/300073,SenatorBarb,senatormikulski,2011-01-05 00:00,MD,http://www.mikulski.senate.gov,202-224-4654,senior,SN,Senior senator from MD,300073,
Lisa,Murkowski,,2017-01-03 00:00,,REP,1957-05-22 00:00,1004138,F,https://www.govtrack.us/congress/members/lisa_murkowski/300075,LisaMurkowski,senatormurkowski,2011-01-05 00:00,AK,http://www.murkowski.senate.gov,202-224-6665,senior,SN,Senior senator from AK,300075,"B.A. in Economics, Georgetown University 1980
J.D., Willamette College of Law 1985"
Patty,Murray,,2017-01-03 00:00,,DEM,1950-10-11 00:00,25277,F,https://www.govtrack.us/congress/members/patty_murray/300076,PattyMurray,SenatorPattyMurray,2011-01-05 00:00,WA,http://www.murray.senate.gov,202-224-2621,senior,SN,Senior senator from WA,300076,
Mark,Pryor,,2015-01-03 00:00,,DEM,1963-01-10 00:00,1002201,M,https://www.govtrack.us/congress/members/mark_pryor/300080,SenMarkPryor,senatorpryor,2009-01-06 00:00,AR,http://www.pryor.senate.gov,202-224-2353,senior,SN,Senior senator from AR,300080,"B.A., University of Arkansas 1985
J.D., University of Arkansas 1988"
John,Reed,,2015-01-03 00:00,,DEM,1949-11-12 00:00,24239,M,https://www.govtrack.us/congress/members/john_reed/300081,SenJackReed,SenatorReed,2009-01-06 00:00,RI,http://www.reed.senate.gov,202-224-4642,senior,SN,Senior senator from RI,300081,"B.S., United States Military Academy, West Point 1971
M.P.P., Kennedy School of Government, Harvard University 1973
J.D., Harvard Law School 1982"
Harry,Reid,,2017-01-03 00:00,Majority Leader,DEM,1939-12-02 00:00,1683,M,https://www.govtrack.us/congress/members/harry_reid/300082,SenatorReid,SenatorReid,2011-01-05 00:00,NV,http://www.reid.senate.gov,202-224-3542,senior,SN,Senior senator from NV,300082,
Pat,Roberts,,2015-01-03 00:00,,REP,1936-04-20 00:00,16354,M,https://www.govtrack.us/congress/members/pat_roberts/300083,SenPatRoberts,SenPatRoberts,2009-01-06 00:00,KS,http://www.roberts.senate.gov,202-224-4774,senior,SN,Senior senator from KS,300083,"B.A., Kansas State University, Manhattan 1958"
John,Rockefeller,,2015-01-03 00:00,,DEM,1937-06-18 00:00,1238,M,https://www.govtrack.us/congress/members/john_rockefeller/300084,SenRockefeller,SenatorRockefeller,2009-01-06 00:00,WV,http://www.rockefeller.senate.gov,202-224-6472,senior,SN,Senior senator from WV,300084,
Charles,Schumer,,2017-01-03 00:00,,DEM,1950-11-23 00:00,5929,M,https://www.govtrack.us/congress/members/charles_schumer/300087,ChuckSchumer,SenatorSchumer,2011-01-05 00:00,NY,http://www.schumer.senate.gov,202-224-6542,senior,SN,Senior senator from NY,300087,"A.B., Harvard University 1971
J.D., Harvard Law School 1974"
Jefferson,Sessions,,2015-01-03 00:00,,REP,1946-12-24 00:00,44441,M,https://www.govtrack.us/congress/members/jefferson_sessions/300088,SenatorSessions,SenatorSessions,2009-01-06 00:00,AL,http://www.sessions.senate.gov,202-224-4124,junior,SN,Junior senator from AL,300088,
Richard,Shelby,,2017-01-03 00:00,,REP,1934-05-06 00:00,1859,M,https://www.govtrack.us/congress/members/richard_shelby/300089,SenShelby,SenatorRichardShelby,2011-01-05 00:00,AL,http://www.shelby.senate.gov,202-224-5744,senior,SN,Senior senator from AL,300089,
Ron,Wyden,,2017-01-03 00:00,,DEM,1949-05-03 00:00,1962,M,https://www.govtrack.us/congress/members/ron_wyden/300100,RonWyden,senronwyden,2011-01-05 00:00,OR,http://www.wyden.senate.gov,202-224-5244,senior,SN,Senior senator from OR,300100,"A.B., Stanford University 1971
J.D., University of Oregon Law School in Eugene 1974"
John,Thune,,2017-01-03 00:00,,REP,1961-01-07 00:00,45552,M,https://www.govtrack.us/congress/members/john_thune/400546,SenJohnThune,johnthune,2011-01-05 00:00,SD,http://www.thune.senate.gov,202-224-2321,junior,SN,Junior senator from SD,400546,"B.S., Biola University, La Mirada, Calif., 1983
M.B.A., University of South Dakota, Vermillion, S. Dak., 1984"
Thomas,Coburn,,2017-01-03 00:00,,REP,1948-03-14 00:00,36751,M,https://www.govtrack.us/congress/members/thomas_coburn/400576,TomCoburn,SenatorCoburn,2011-01-05 00:00,OK,http://www.coburn.senate.gov,202-224-5754,junior,SN,Junior senator from OK,400576,
Daniel,Coats,,2017-01-03 00:00,,REP,1943-05-16 00:00,6080,M,https://www.govtrack.us/congress/members/daniel_coats/402675,SenDanCoats,SenatorCoats,2011-01-05 00:00,IN,http://www.coats.senate.gov,202-224-5623,senior,SN,Senior senator from IN,402675,
Curtis,Clawson,19,2015-01-03 00:00,,REP,1959-09-28 00:00,75516,M,https://www.govtrack.us/congress/members/curtis_clawson/412604,0,0,2014-06-24 00:00,FL,0,0,,HS,Representative from FL,412604,"B.A., Purdue University, West Lafayette, Ind., 1984
B.S., Krannert School of Management, Purdue University, West Lafayette, Ind., 1984
M.B.A., Harvard University, Cambridge, Mass., 1990"
Mike,Johanns,,2015-01-03 00:00,,REP,1950-06-18 00:00,56552,M,https://www.govtrack.us/congress/members/mike_johanns/412320,Mike_Johanns,SenatorMikeJohanns,2009-01-06 00:00,NE,http://www.johanns.senate.gov,202-224-4224,senior,SN,Senior senator from NE,412320,"B.A., St. Mary's University
J.D., Creighton University, Omaha, Nebr., 1974"
Mark,Warner,,2015-01-03 00:00,,DEM,1954-12-15 00:00,7630,M,https://www.govtrack.us/congress/members/mark_warner/412321,MarkWarner,SenatorMarkWarner,2009-01-06 00:00,VA,http://www.warner.senate.gov,202-224-2023,senior,SN,Senior senator from VA,412321,"B.A., George Washington University, 1977
J.D., Harvard Law School, 1980"
James,Risch,,2015-01-03 00:00,,REP,1943-05-03 00:00,1020034,M,https://www.govtrack.us/congress/members/james_risch/412322,SenatorRisch,SenatorJamesRisch,2009-01-06 00:00,ID,http://www.risch.senate.gov,202-224-2752,junior,SN,Junior senator from ID,412322,"B.A., attended the University of Wisconsin, Milwaukee, 1961-1963
B.S. in Forestry, University of Idaho, 1965
J.D., University of Idaho College of Law, 1968"
Jeanne,Shaheen,,2015-01-03 00:00,,DEM,1947-01-28 00:00,22850,F,https://www.govtrack.us/congress/members/jeanne_shaheen/412323,SenatorShaheen,senatorshaheen,2009-01-06 00:00,NH,http://www.shaheen.senate.gov,202-224-2841,senior,SN,Senior senator from NH,412323,"B.A., Shippensburg State College, Shippensburg, Penn., 1969
M.S.S., University of Mississippi, 1973"
Kay,Hagan,,2015-01-03 00:00,,DEM,1953-05-26 00:00,1028015,F,https://www.govtrack.us/congress/members/kay_hagan/412324,SenatorHagan,SenatorHagan,2009-01-06 00:00,NC,http://www.hagan.senate.gov,202-224-6342,junior,SN,Junior senator from NC,412324,"J.D., Wake Forest University, 1978"
Jeff,Merkley,,2015-01-03 00:00,,DEM,1956-10-24 00:00,1029842,M,https://www.govtrack.us/congress/members/jeff_merkley/412325,SenJeffMerkley,SenatorJeffMerkley,2009-01-06 00:00,OR,http://www.merkley.senate.gov,202-224-3753,junior,SN,Junior senator from OR,412325,"M.P.A., Princeton University, 1982"
Mark,Begich,,2015-01-03 00:00,,DEM,1962-03-30 00:00,1030732,M,https://www.govtrack.us/congress/members/mark_begich/412326,SenatorBegich,USSenatorMarkBegich,2009-01-06 00:00,AK,http://www.begich.senate.gov,202-224-3004,junior,SN,Junior senator from AK,412326,
Michael,Bennet,,2017-01-03 00:00,,DEM,1964-11-28 00:00,1031622,M,https://www.govtrack.us/congress/members/michael_bennet/412330,SenBennetCo,SenatorBennet,2011-01-05 00:00,CO,http://www.bennet.senate.gov,202-224-5852,junior,SN,Junior senator from CO,412330,"B.A., Wesleyan University, Middletown, Conn., 1987
J.D., Yale Law School, 1993, editor-in-chief of the Yale Law Journal"
Alan,Franken,,2015-01-03 00:00,,DEM,1951-05-21 00:00,23334,M,https://www.govtrack.us/congress/members/alan_franken/412378,0,SenatorFranken,2009-07-07 00:00,MN,http://www.franken.senate.gov,202-224-5641,junior,SN,Junior senator from MN,412378,
Chris,Coons,,2015-01-03 00:00,,DEM,1963-09-09 00:00,9269028,M,https://www.govtrack.us/congress/members/chris_coons/412390,SenCoonsOffice,senatorchriscoons,2010-11-15 00:00,DE,http://www.coons.senate.gov,202-224-5042,junior,SN,Junior senator from DE,412390,"B.A., Amherst College, 1985
J.D., Yale University Law School, 1992"
Richard,Blumenthal,,2017-01-03 00:00,,DEM,1946-02-13 00:00,21799,M,https://www.govtrack.us/congress/members/richard_blumenthal/412490,SenBlumenthal,SenatorBlumenthal,2011-01-05 00:00,CT,http://www.blumenthal.senate.gov,202-224-2823,senior,SN,Senior senator from CT,412490,
Marco,Rubio,,2017-01-03 00:00,,REP,1971-05-28 00:00,87599,M,https://www.govtrack.us/congress/members/marco_rubio/412491,SenRubioPress,SenatorMarcoRubio,2011-01-05 00:00,FL,http://www.rubio.senate.gov,202-224-3041,junior,SN,Junior senator from FL,412491,
Rand,Paul,,2017-01-03 00:00,,REP,1963-01-07 00:00,9265241,M,https://www.govtrack.us/congress/members/rand_paul/412492,SenRandPaul,SenatorRandPaul,2011-01-05 00:00,KY,http://www.paul.senate.gov,202-224-4343,junior,SN,Junior senator from KY,412492,
Kelly,Ayotte,,2017-01-03 00:00,,REP,1968-06-27 00:00,95241,F,https://www.govtrack.us/congress/members/kelly_ayotte/412493,0,SenatorAyotte,2011-01-05 00:00,NH,http://www.ayotte.senate.gov,202-224-3324,junior,SN,Junior senator from NH,412493,
John,Hoeven,,2017-01-03 00:00,,REP,1957-03-13 00:00,85233,M,https://www.govtrack.us/congress/members/john_hoeven/412494,SenJohnHoeven,senatorjohnhoevennd,2011-01-05 00:00,ND,http://www.hoeven.senate.gov,202-224-2551,senior,SN,Senior senator from ND,412494,
Mike,Lee,,2017-01-03 00:00,,REP,1971-06-04 00:00,9267977,M,https://www.govtrack.us/congress/members/mike_lee/412495,SenMikeLee,senatormikelee,2011-01-05 00:00,UT,http://www.lee.senate.gov,202-224-5444,junior,SN,Junior senator from UT,412495,
Ron,Johnson,,2017-01-03 00:00,,REP,1955-04-08 00:00,62835,M,https://www.govtrack.us/congress/members/ron_johnson/412496,SenRonJohnson,SenatorRonJohnson,2011-01-05 00:00,WI,http://www.ronjohnson.senate.gov,202-224-5323,senior,SN,Senior senator from WI,412496,
Roger,Wicker,,2019-01-03 00:00,,REP,1951-07-05 00:00,18203,M,https://www.govtrack.us/congress/members/roger_wicker/400432,SenatorWicker,SenatorWicker,2013-01-03 00:00,MS,http://www.wicker.senate.gov,202-224-6253,junior,SN,Junior senator from MS,400432,"B.A., University of Mississippi, University, Miss., 1973
J.D., University of Mississippi, University, Miss. 1975"
John,Duncan,2,2015-01-03 00:00,,REP,1947-07-21 00:00,6114,M,https://www.govtrack.us/congress/members/john_duncan/400116,RepJohnDuncanJr,RepJohnDuncan,2013-01-03 00:00,TN,http://duncan.house.gov,202-225-5435,,HS,Representative from TN,400116,"B.S., University of Tennessee, Knoxville, Tenn., 1969"
Mark,Pocan,2,2015-01-03 00:00,,DEM,1964-08-14 00:00,79688,M,https://www.govtrack.us/congress/members/mark_pocan/412585,RepMarkPocan,repmarkpocan,2013-01-03 00:00,WI,http://pocan.house.gov,202-225-2906,,HS,Representative from WI,412585,"B.A., University of Wisconsin, Madison, Wis., 1986"
Denny,Heck,10,2015-01-03 00:00,,DEM,1952-07-29 00:00,9269006,M,https://www.govtrack.us/congress/members/denny_heck/412584,RepDennyHeck,RepDennyHeck,2013-01-03 00:00,WA,http://dennyheck.house.gov,202-225-9740,,HS,Representative from WA,412584,"B.A., Evergreen State College, Olympia, Wash., 1973"
Derek,Kilmer,6,2015-01-03 00:00,,DEM,1974-01-01 00:00,68310,M,https://www.govtrack.us/congress/members/derek_kilmer/412583,RepDerekKilmer,0,2013-01-03 00:00,WA,http://kilmer.house.gov,202-225-5916,,HS,Representative from WA,412583,"A.B., Princeton University, Princeton, N.J., 1996
D.Phil., University of Oxford, Oxford, England, 2003"
Timothy,Kaine,,2019-01-03 00:00,,DEM,1958-02-26 00:00,49219,M,https://www.govtrack.us/congress/members/timothy_kaine/412582,SenKaineOffice,SenatorTimKaine,2013-01-03 00:00,VA,http://www.kaine.senate.gov,202-224-4024,junior,SN,Junior senator from VA,412582,
Chris,Stewart,2,2015-01-03 00:00,,REP,1960-07-15 00:00,68466,M,https://www.govtrack.us/congress/members/chris_stewart/412581,RepChrisStewart,repchrisstewart,2013-01-03 00:00,UT,http://stewart.house.gov,202-225-9730,,HS,Representative from UT,412581,"B.S., Utah State University, Logan, Utah, 1984"
Filemon,Vela,34,2015-01-03 00:00,,DEM,1963-02-13 00:00,95434,M,https://www.govtrack.us/congress/members/filemon_vela/412580,RepFilemonVela,0,2013-01-03 00:00,TX,http://vela.house.gov,202-225-9901,,HS,Representative from TX,412580,"B.A., Georgetown University, Washington, D.C., 1985
J.D., University of Texas, Austin, Tex., 1987"
Marc,Veasey,33,2015-01-03 00:00,,DEM,1971-01-03 00:00,79466,M,https://www.govtrack.us/congress/members/marc_veasey/412579,RepVeasey,marcveasey,2013-01-03 00:00,TX,http://veasey.house.gov,202-225-9897,,HS,Representative from TX,412579,"B.S., Texas Wesleyan University, Fort Worth, Tex., 1995"
Roger,Williams,25,2015-01-03 00:00,,REP,1949-09-13 00:00,623742,M,https://www.govtrack.us/congress/members/roger_williams/412578,RepRWilliams,0,2013-01-03 00:00,TX,http://williams.house.gov,202-225-9896,,HS,Representative from TX,412578,"B.A., Texas Christian University, Fort Worth, Tex., 1972"
Pete,Gallego,23,2015-01-03 00:00,,DEM,1961-12-02 00:00,79696,M,https://www.govtrack.us/congress/members/pete_gallego/412577,RepPeteGallego,RepPeteGallego,2013-01-03 00:00,TX,http://gallego.house.gov,202-225-4511,,HS,Representative from TX,412577,"B.A., Sul Ross State University, Alpine, Tex., 1982
J.D., University of Texas, Austin, Tex., 1985"
Joaquin,Castro,20,2015-01-03 00:00,,DEM,1974-09-16 00:00,63974,M,https://www.govtrack.us/congress/members/joaquin_castro/412576,JoaquinCastrotx,JoaquinCastroTX,2013-01-03 00:00,TX,http://castro.house.gov,202-225-3236,,HS,Representative from TX,412576,"B.A., Stanford University, Stanford, Calif., 1996
J.D., Harvard University, Cambridge, Mass., 2000"
Beto,O'Rourke,16,2015-01-03 00:00,,DEM,1972-09-26 00:00,79697,M,https://www.govtrack.us/congress/members/beto_orourke/412575,RepBetoORourke,betoorourketx16,2013-01-03 00:00,TX,http://orourke.house.gov,202-225-4831,,HS,Representative from TX,412575,"B.A., Columbia University, New York, N.Y., 1995"
Randy,Weber,14,2015-01-03 00:00,,REP,1953-07-02 00:00,79698,M,https://www.govtrack.us/congress/members/randy_weber/412574,TXRandy14,TXRandy14,2013-01-03 00:00,TX,http://weber.house.gov,202-225-2831,,HS,Representative from TX,412574,
Ted,Cruz,,2019-01-03 00:00,,REP,1970-12-22 00:00,1019953,M,https://www.govtrack.us/congress/members/ted_cruz/412573,SenTedCruz,sentedcruz,2013-01-03 00:00,TX,http://www.cruz.senate.gov,202-224-5922,junior,SN,Junior senator from TX,412573,
Tom,Rice,7,2015-01-03 00:00,,REP,1957-08-04 00:00,79473,M,https://www.govtrack.us/congress/members/tom_rice/412572,RepTomRice,RepTomRice,2013-01-03 00:00,SC,http://rice.house.gov,202-225-9895,,HS,Representative from SC,412572,"B.S., University of South Carolina, Columbia, S.C., 1979
M.A., University of South Carolina, Columbia, S.C., 1982
J.D., University of South Carolina, Columbia, S.C., 1982"
Matthew,Cartwright,17,2015-01-03 00:00,,DEM,1961-05-01 00:00,79865,M,https://www.govtrack.us/congress/members/matthew_cartwright/412571,RepCartwright,0,2013-01-03 00:00,PA,http://cartwright.house.gov,202-225-5546,,HS,Representative from PA,412571,"A.B., Hamilton College, Clinton, N.Y., 1983
J.D., University of Pennsylvania, Philadelphia, Pa., 1986"
Keith,Rothfus,12,2015-01-03 00:00,,REP,1962-04-25 00:00,61949,M,https://www.govtrack.us/congress/members/keith_rothfus/412570,KeithRothfus,reprothfus,2013-01-03 00:00,PA,http://rothfus.house.gov,202-225-2065,,HS,Representative from PA,412570,"B.S., State University of New York-Buffalo State, 1984"
Scott,Perry,4,2015-01-03 00:00,,REP,1962-05-27 00:00,79873,M,https://www.govtrack.us/congress/members/scott_perry/412569,RepScottPerry,RepScottPerry,2013-01-03 00:00,PA,http://perry.house.gov,202-225-5836,,HS,Representative from PA,412569,"B.S., Pennsylvania State University, University Park, Pa., 1991"
Markwayne,Mullin,2,2015-01-03 00:00,,REP,1977-07-26 00:00,1034045,M,https://www.govtrack.us/congress/members/markwayne_mullin/412568,RepMullin,0,2013-01-03 00:00,OK,http://mullin.house.gov,202-225-2701,,HS,Representative from OK,412568,"A.A.S., Oklahoma State University Institute of Technology, Okmulgee, Okla., 2010"
Jim,Bridenstine,1,2015-01-03 00:00,,REP,1975-06-15 00:00,79705,M,https://www.govtrack.us/congress/members/jim_bridenstine/412567,RepJBridenstine,RepJimBridenstine,2013-01-03 00:00,OK,http://bridenstine.house.gov,202-225-2211,,HS,Representative from OK,412567,"B.A., Rice University, Houston, Texas, 1998
M.B.A., Cornell University, Ithaca, N.Y., 2009"
David,Joyce,14,2015-01-03 00:00,,REP,1957-03-17 00:00,68561,M,https://www.govtrack.us/congress/members/david_joyce/412566,RepDaveJoyce,repdavejoyce,2013-01-03 00:00,OH,http://joyce.house.gov,202-225-5731,,HS,Representative from OH,412566,"B.S., University of Dayton, Dayton, Ohio, 1979
J.D., University of Dayton, Dayton, Ohio, 1982"
